Business Unit,Name,Open,F=Fulfillment,Address,City,State/Province,Country,Zip, SqFt,Month,Year,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country
"Amazon.com.dedc, Inc.",MSP1,Y,F,2601 4th Ave E,Shakopee,Minnesota,USA,55379-1726,"820,000",July,2016,44.797549,-93.487895,1,rooftop,2601,4th Ave E,Shakopee,MN,Scott County,55379,US
"Amazon.com.nvdc, Inc.",LAS2,Y,F,3837 Bay Lake Trail,North Las Vegas,Nevada,USA,89030,"283,920",October,2008,35.142812,-114.628834,0.8,street_center,,Bay Clb,Laughlin,NV,Clark County,89029,US
"Amazon.com.nvdc, Inc.",LAS3,N,F,North Lamb Boulevard and Tropical Parkway,North Las Vegas,Nevada,USA,89081,"813,120",Summer,2017,36.188655,-115.079874,1,street_center,,N Lamb Blvd,Las Vegas,NV,Clark County,89115,US
"Amazon.com.nvdc, Inc.",RNO3,Y,F,555 Milan Dr,Sparks,Nevada,USA,89434,"566,875",November,2010,39.551766,-119.453978,1,rooftop,555,Milan Dr,Sparks,NV,Storey County,89434,US
"Amazon.com.nvdc, Inc.",RNO4,Y,F,8000 North Virginia Street ,Reno,Nevada,USA,89506,"634,000",January ,2015,39.603302,-119.847666,1,rooftop,8000,N Virginia St,Reno,NV,Washoe County,89506,US
Amazon Com Kydc Inc,BOS1,Y,F,10 State Street,Nashua,New Hampshire,USA,3063,"63,750",July,2007,42.793128,-71.528184,1,range_interpolation,10,State St,Nashua,NH,Hillsborough County,3063,US
"Amazon.com.dedc, Inc.",EWR4,Y,F,50 New Canton Way,Robbinsville,New Jersey,USA,08691-2350,"1,200,000",June,2014,40.19533,-74.564724,1,rooftop,50,New Canton Way,Trenton,NJ,Mercer County,8691,US
"Amazon.com.dedc, Inc.",ABE8,Y,F,309 Cedar Lane,Florence,New Jersey,USA,08518-2802,"613,920",September,2016,40.11803,-74.795966,1,range_interpolation,309,Cedar St,Florence,NJ,Burlington County,8518,US
"Amazon.com.dedc, Inc.","LGA6/EWR8/EWR9",Y,F,"8003 Industrial Ave, Building A",Carteret,New Jersey,USA,07008-3529,"1,064,515",September,2016,40.596692,-74.226742,1,rooftop,8003,Industrial Ave,Carteret,NJ,Middlesex County,7008,US
"Amazon.com.dedc, Inc.",,N,F,698 Route 46 West,Teterboro,New Jersey,USA,7608,"617,000",,2017,40.863954,-74.055584,0.33,place,,,Teterboro,NJ,Bergen County,7608,US
"Amazon.com.dedc, Inc.",LGA9,N,F,2170 State Route 27,Edison,New Jersey,USA,08817-3332,"923,000",Q2,2017,40.529366,-74.382806,1,range_interpolation,2170,State Rte 27,Edison,NJ,Middlesex County,8817,US
"Amazon.com.dedc, Inc.",,N,F,Hightstown-Cranbury Station Road,Cranbury Township,New Jersey,USA,8512,"930,000",Q2,2017,40.301592,-74.520645,1,street_center,,Old Cranbury Rd,Cranbury,NJ,Middlesex County,8512,US
"Amazon.com.dedc, Inc.",,N,F,Harrisonville Road,Logan Township,New Jersey,USA,8085,"1,000,000",Q2,2017,39.714499,-75.305238,1,street_center,,Co Rd 668,Swedesboro,NJ,Gloucester County,8085,US
"Amazon.com.dedc, Inc.",,N,F,656 Gulf Ave,Staten Island,New York,USA,10314,"975,000",Q3,2018,40.614497,-74.179913,1,range_interpolation,656,Gulf Ave,Staten Island,NY,Richmond County,10314,US
"Amazon.com.dedc, Inc.",CLT2,Y,F,"10240 Old Dowd Road, Mecklenburg",Charlotte,North Carolina,USA,28214-8082 ,"397,800",October,2016,35.245937,-80.996746,1,rooftop,10240,Old Dowd Rd,Charlotte,NC,Mecklenburg County,28214,US
"Amazon.com.dedc, Inc.",CMH1,Y,F,11903 National Rd SW,Etna,Ohio,USA,43062-7793,"855,000",September,2016,39.956792,-82.709619,1,range_interpolation,11903,National Rd SW,Pataskala,OH,Licking County,43062,US
"Amazon.com.dedc, Inc.",CMH2,Y,F,6050 Gateway Court,Obetz,Ohio,USA,43125,"1,000,000",December ,2016,39.885414,-83.045766,0.8,street_center,,Gateway Cir,Grove City,OH,Franklin County,43123,US
"Amazon.com.dedc, Inc.",CLE1,N,F,20801 N Miles RD,North Randall,Ohio,USA,44128,"855,000",Q2,2018,41.428394,-81.533069,0.7,rooftop,20801,Miles Pkwy,Cleveland,OH,Cuyahoga County,44128,US
"Amazon.com.dedc, Inc.",PDX2,N,F,4775 Depot Court,Salem,Oregon,USA,97317,"1,000,000",July,2018,45.106449,-122.88863,0.8,street_center,,Depot Ct,Gervais,OR,Marion County,97026,US
"Amazon.com.dedc, Inc.",PDX1,N,F,"NW Swigert Way, Troutdale Reynolds Industrial Park",Troutdale,Oregon,USA,97060,"855,000",July,2018,45.525007,-122.390049,1,place,,,Troutdale,OR,Multnomah County,97060,US
"Amazon.com.dedc, LLC",ABE1/ABE2,Y,F,705 Boulder Drive,Breinigsville,Pennsylvania,USA,18031,"600,000",July,2010,40.557786,-75.614942,1,rooftop,705,Boulder Dr,Breinigsville,PA,Lehigh County,18031,US
"Amazon.com.dedc, LLC",ABE3,Y,F,650 Boulder Drive ,Breinigsville,Pennsylvania,USA,18031-1536,"483,000",June,2011,40.556297,-75.621697,1,rooftop,650,Boulder Dr,Breinigsville,PA,Lehigh County,18031,US
"Amazon.com.dedc, LLC",AVP1,Y,F,550 Oak Ridge Road,Hazleton,Pennsylvania,USA,18202-9361,"615,600",July,2008,40.924319,-76.080888,1,range_interpolation,550,Oak Ridge Rd,Hazleton,PA,Luzerne County,18202,US
"Amazon.com.dedc, LLC","AVP2/AVP3",Y,F,298 1st Avenue,Gouldsboro,Pennsylvania,USA,18424-9464,"1,250,000",November,2010,41.274588,-75.500069,1,rooftop,298,1st Ave,Gouldsboro,PA,Lackawanna County,18424,US
"Amazon.com.dedc, Inc.",PHL4,Y,F,21 Roadway Drive,Carlisle,Pennsylvania,USA,17015,"558,700",September,2010,40.232542,-77.111155,1,range_interpolation,21,Roadway Dr,Carlisle,PA,Cumberland County,17015,US
"Amazon.com.dedc, Inc.",PHL5,Y,F,500 McCarthy Dr.,Lewisberry,Pennsylvania,USA,17339-8725 ,"750,000",August,2010,40.13509,-76.85969,0.33,place,,,Lewisberry,PA,York County,17339,US
"Amazon.com.dedc, Inc.",PHL6,Y,F,675 Allen Rd. ,Carlisle,Pennsylvania,USA,17015-7788 ,"1,206,500",August,2010,40.174042,-77.234258,1,range_interpolation,675,Allen Rd,Carlisle,PA,Cumberland County,17013,US
"Amazon.com.dedc, Inc.",ABE5,Y,F,6455 Allentown Boulevard,Harrisburg,Pennsylvania,USA,17112,"200,000",,2014,40.324852,-76.773074,1,rooftop,6455,Allentown Blvd,Harrisburg,PA,Dauphin County,17112,US
Amazon Com Kydc Inc,XUSC,Y,F,40 Logistics Drive,Carlisle,Pennsylvania,USA,17013,"421,200",May,2013,40.189237,-77.238315,1,range_interpolation,40,Logistics Dr,Carlisle,PA,Cumberland County,17013,US
Amazon Com Kydc Inc,XUSG,Y,F,9645 West Hills Ct,Kutztown,Pennsylvania,USA,19530-8644,"413,750",May,2014,40.497251,-75.803895,0.8,street_center,,Halls Rd,Kutztown,PA,Berks County,19530,US
Amazon Com Kydc Inc,MDT1,Y,F,"2 Ames Drive, Building #2",Carlisle,Pennsylvania,USA,17015,"750,000",January,2015,40.177826,-77.229536,0.3,place,,,Carlisle,PA,Lebanon County,17015,US
"Amazon.com.dedc, Inc.",ABE4,Y,F,1610 Van Buren Road,Easton,Pennsylvania,USA,18045-7807,"1,106,442",November,2016,40.725801,-75.275461,0.8,street_center,,Van Buren Rd,Easton,PA,Northampton County,18045,US
"Amazon.com.dedc, Inc.",AVP8,Y,F,250 Enterprise Way,Pittston,Pennsylvania,USA,18640-5000 ,"399,500",November,2016,41.190934,-76.005212,1,range_interpolation,250,Enterprise St,Nanticoke,PA,Luzerne County,18634,US
"Amazon.com dedc, LLC ",CAE1,Y,F,4400 12 Street Extension,West Columbia (Cayce),South Carolina,USA,29172-3300,"1,250,000",October,2011,33.979633,-81.069276,0.8,street_center,,12th St,Cayce,SC,Lexington County,29033,US
